City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Puerto Ayora,EC,82.36,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
2,Kapaa,US,80.58,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
3,Faanui,PF,77.79,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
4,Jamestown,US,80.19,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
10,Butaritari,KI,83.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
17,Gravelbourg,CA,79.07,clear sky,49.8834,-106.5512,Historic Bishops Residence Bed & Breakfast
18,Sao Joao Da Barra,BR,77.09,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
22,Koumac,NC,67.93,clear sky,-20.5667,164.2833,Le Monitel
24,Hilo,US,86.29,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
27,Vaini,TO,69.96,fog,-21.2,-175.2,Keleti Beach Resort
30,Saint-Philippe,RE,69.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
31,Xining,CN,65.1,overcast clouds,36.6167,101.7667,Super Leisure Hotel
32,Mahebourg,MU,70.09,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
33,Sovetskaya Gavan,RU,66.47,broken clouds,48.9723,140.2878,"Хостел ""Пилигрим"""
34,Castro,BR,69.6,clear sky,-24.7911,-50.0119,CHACARA BAILLY
38,San Cristobal,VE,82.58,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
39,Kluang,MY,82.13,overcast clouds,2.0251,103.3328,Hotel Anika
40,Hithadhoo,MV,82.17,few clouds,-0.6,73.0833,Scoop Guest House
41,Mishan,CN,72.18,broken clouds,45.55,131.8833,Mishan Hotel
42,Atuona,PF,78.31,broken clouds,-9.8,-139.0333,Villa Enata
43,Georgetown,MY,84.88,few clouds,5.4112,100.3354,Cititel Penang
46,Lasa,IT,76.91,scattered clouds,46.6166,10.7002,Pension Feldgärtenhof
50,Thompson,CA,68.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
51,Gat,IL,82.81,clear sky,31.61,34.7642,OlusHome
53,Rikitea,PF,69.03,clear sky,-23.1203,-134.9692,People ThankYou
56,Yuanping,CN,69.57,clear sky,38.7153,112.7575,Yuanping Xinghe Guesthouse
58,Lasem,ID,73.94,clear sky,-6.6922,111.4527,"Nyah Lasem | Museum, Guest House & Community Center"
59,Pimentel,PE,71.89,broken clouds,-6.8367,-79.9342,Casona Del Muelle
62,Carutapera,BR,79.2,overcast clouds,-1.195,-46.02,Lidera
64,Lorengau,PG,80.74,clear sky,-2.0226,147.2712,Lorengau Harbourside Hotel
