City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Puerto Ayora,EC,2021-07-24 18:34:03,-0.7393,-90.3518,82.36,81,15,8.99,few clouds
1,Kaeo,NZ,2021-07-24 18:34:05,-35.1,173.7833,55.33,87,97,10.92,overcast clouds
2,Kapaa,US,2021-07-24 18:31:00,22.0752,-159.319,80.58,84,90,4.0,light rain
3,Faanui,PF,2021-07-24 18:31:46,-16.4833,-151.75,77.79,71,3,13.85,clear sky
4,Jamestown,US,2021-07-24 18:34:08,42.097,-79.2353,80.19,61,20,7.0,few clouds
5,Saldanha,ZA,2021-07-24 18:34:09,-33.0117,17.9442,51.85,69,7,11.03,clear sky
6,San Patricio,US,2021-07-24 18:34:10,28.017,-97.5169,94.01,39,0,15.39,clear sky
7,Cherskiy,RU,2021-07-24 18:34:11,68.75,161.3,45.01,74,99,3.47,overcast clouds
8,East London,ZA,2021-07-24 18:31:48,-33.0153,27.9116,54.54,76,0,9.22,clear sky
9,Pauini,BR,2021-07-24 18:34:13,-7.7136,-66.9764,97.72,26,21,2.68,few clouds
10,Butaritari,KI,2021-07-24 18:31:02,3.0707,172.7902,83.79,72,100,18.59,overcast clouds
11,Tuktoyaktuk,CA,2021-07-24 18:34:15,69.4541,-133.0374,57.2,62,40,18.41,scattered clouds
12,Mataura,NZ,2021-07-24 18:34:16,-46.1927,168.8643,40.48,90,100,3.69,overcast clouds
13,Qarayeri,AZ,2021-07-24 18:34:18,40.7886,46.3066,83.28,61,75,20.71,broken clouds
14,Hammerfest,NO,2021-07-24 18:34:19,70.6634,23.6821,45.05,87,90,9.22,overcast clouds
15,Cape Town,ZA,2021-07-24 18:31:03,-33.9258,18.4232,54.27,69,0,3.44,clear sky
16,Kuusamo,FI,2021-07-24 18:33:29,65.9667,29.1833,59.04,58,0,4.61,clear sky
17,Gravelbourg,CA,2021-07-24 18:34:21,49.8834,-106.5512,79.07,22,0,10.18,clear sky
18,Sao Joao Da Barra,BR,2021-07-24 18:34:22,-21.6403,-41.0511,77.09,60,0,12.39,clear sky
19,Ilulissat,GL,2021-07-24 18:34:23,69.2167,-51.1,44.62,76,75,11.5,broken clouds
20,Punta Arenas,CL,2021-07-24 18:33:52,-53.15,-70.9167,42.91,75,75,18.41,broken clouds
21,Sistranda,NO,2021-07-24 18:34:25,63.7256,8.834,64.36,86,100,7.81,overcast clouds
22,Koumac,NC,2021-07-24 18:34:26,-20.5667,164.2833,67.93,87,4,3.47,clear sky
23,Siavonga,ZM,2021-07-24 18:34:27,-16.5382,28.7088,64.6,61,36,9.64,scattered clouds
24,Hilo,US,2021-07-24 18:34:28,19.7297,-155.09,86.29,88,90,5.75,light rain
25,Klaksvik,FO,2021-07-24 18:34:29,62.2266,-6.589,50.92,95,82,18.66,broken clouds
26,Longyearbyen,SJ,2021-07-24 18:31:03,78.2186,15.6401,46.24,76,75,6.91,broken clouds
27,Vaini,TO,2021-07-24 18:34:31,-21.2,-175.2,69.96,100,75,1.14,fog
28,La Reforma,MX,2021-07-24 18:34:32,25.0833,-108.05,95.25,53,2,11.56,clear sky
29,Pevek,RU,2021-07-24 18:32:01,69.7008,170.3133,36.88,93,100,9.64,overcast clouds
30,Saint-Philippe,RE,2021-07-24 18:34:34,-21.3585,55.7679,69.39,77,47,6.29,light rain
31,Xining,CN,2021-07-24 18:34:35,36.6167,101.7667,65.1,88,100,1.72,overcast clouds
32,Mahebourg,MU,2021-07-24 18:34:36,-20.4081,57.7,70.09,83,75,5.75,light intensity shower rain
33,Sovetskaya Gavan,RU,2021-07-24 18:32:11,48.9723,140.2878,66.47,95,80,2.64,broken clouds
34,Castro,BR,2021-07-24 18:34:39,-24.7911,-50.0119,69.6,48,0,4.7,clear sky
35,Ushuaia,AR,2021-07-24 18:34:40,-54.8,-68.3,40.62,81,40,3.44,light rain
36,Talcahuano,CL,2021-07-24 18:34:41,-36.7167,-73.1167,55.08,67,75,11.5,broken clouds
37,Bluff,NZ,2021-07-24 18:31:22,-46.6,168.3333,40.8,74,100,10.76,overcast clouds
38,San Cristobal,VE,2021-07-24 18:34:44,7.7669,-72.225,82.58,57,100,6.4,overcast clouds
39,Kluang,MY,2021-07-24 18:34:45,2.0251,103.3328,82.13,86,93,2.62,overcast clouds
40,Hithadhoo,MV,2021-07-24 18:32:08,-0.6,73.0833,82.17,78,13,12.48,few clouds
41,Mishan,CN,2021-07-24 18:34:47,45.55,131.8833,72.18,83,55,3.44,broken clouds
42,Atuona,PF,2021-07-24 18:34:48,-9.8,-139.0333,78.31,69,82,16.37,broken clouds
43,Georgetown,MY,2021-07-24 18:31:45,5.4112,100.3354,84.88,84,20,0.0,few clouds
44,Prince Rupert,CA,2021-07-24 18:34:50,54.3161,-130.3201,57.29,91,90,5.75,light rain
45,Aykhal,RU,2021-07-24 18:33:37,66.0,111.5,57.74,58,4,7.56,clear sky
