City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Lebu,CL,2021-07-16 03:19:20,-37.6167,-73.65,49.98,78,83,3.06
1,Geraldton,AU,2021-07-16 03:19:20,-28.7667,114.6,63.12,77,75,8.05
2,Cape Town,ZA,2021-07-16 03:19:20,-33.9258,18.4232,49.12,81,0,5.75
3,Bredasdorp,ZA,2021-07-16 03:19:21,-34.5322,20.0403,38.52,93,0,1.14
4,Taltal,CL,2021-07-16 03:19:21,-25.4,-70.4833,56.05,79,13,1.83
5,Mayo,US,2021-07-16 03:19:21,38.8876,-76.5119,84.36,86,40,4.61
6,Puerto Escondido,MX,2021-07-16 03:19:22,15.85,-97.0667,79.93,81,100,3.31
7,Tottori,JP,2021-07-16 03:16:32,35.5,134.2333,84.2,78,75,6.91
8,Gat,IL,2021-07-16 03:19:22,31.61,34.7642,79.39,86,0,2.53
9,Rikitea,PF,2021-07-16 03:19:23,-23.1203,-134.9692,73.13,73,20,9.46
10,East London,ZA,2021-07-16 03:19:23,-33.0153,27.9116,50.94,37,0,10.36
11,Nome,US,2021-07-16 03:19:23,64.5011,-165.4064,53.17,71,90,17.27
12,Hobart,AU,2021-07-16 03:19:24,-42.8794,147.3294,55.26,85,75,1.01
13,Bluff,NZ,2021-07-16 03:19:24,-46.6,168.3333,55.8,84,14,4.79
14,Saint-Philippe,RE,2021-07-16 03:19:24,-21.3585,55.7679,67.55,86,70,14.83
15,Cabo San Lucas,MX,2021-07-16 03:16:05,22.8909,-109.9124,88.9,53,1,7.0
16,Avarua,CK,2021-07-16 03:19:25,-21.2078,-159.775,78.85,78,75,8.05
17,Vaini,TO,2021-07-16 03:19:25,-21.2,-175.2,75.36,88,75,12.66
18,Punta Arenas,CL,2021-07-16 03:19:25,-53.15,-70.9167,39.31,87,90,10.36
19,Lompoc,US,2021-07-16 03:19:26,34.6391,-120.4579,69.57,84,90,9.22
20,Padang,ID,2021-07-16 03:19:26,-0.9492,100.3543,83.41,54,100,2.28
